user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
8E2CA56C1FD81A095DECAEDE6F2ED626,0,24,24,25,25,21,5.250000000000001,24
03896D205DD7A729C6D1269749A0267A,0,18,19,20,20,21,5.789473684210526,19
89482B3A8B18E86AF55BA12A05B22DA3,6,24,19,20,20,21,5.157894736842104,19
52AFBFFECE384C678FC4362BE82A40CE,0,1,1,26,2,4,4.0,1
3C1972F887FD4EC6EFF72B7A4ACC9BF9,6,3,21,21,22,21,5.333333333333334,24
A904653DA2127895AE45F82CD5260F1A,29,68,47,31,32,21,3.7547169811320757,53
764B8932F53129D15854A1A12393513C,0,13,13,14,14,21,8.0,13
C2CDD49D04056C8A2F99CCAF7A7FAF3F,3,3,17,13,13,21,5.9411764705882355,17
5341BD6A836D247A4B5CCDA5FB3BCC9D,0,0,2,13,3,12,10.5,2
278213F4C6CD188CD0B75EE22180520B,3,20,17,23,18,15,6.176470588235294,17
E44C19AB9967674958CFE343B6C3A66D,1,1,17,24,12,15,8.470588235294118,17
A323D8E5FA3D8C56594AFEBC6C8E63FA,14,12,23,24,25,21,5.280000000000001,25
D2057EE2B8E8563B522E6C21B7BD4524,0,2,2,12,3,17,10.0,2
34ADF71F1AADCA26EC8008496F7CC87E,19,44,25,26,27,21,4.407407407407408,27
F4CB0B30E0A170AEB6A94EF1156738C8,0,15,16,16,16,21,6.374999999999999,16
EA89F979E0D4C374DBC95268982D18DE,0,23,23,24,24,21,6.565217391304349,23
0FDAC2A4A154F9E946D749BFE67B1FCD,4,22,18,19,19,21,5.722222222222221,18
D771048ADB1B9CACADFE001E6F9BA799,6,22,16,17,17,21,5.5625,16
F9E25D9E79A408331969D9ED06679184,0,8,8,13,9,15,3.875,8
F67EA85DBEF756A1475845334DA83A3E,0,10,10,19,11,14,6.4,10
AF8E7114A6447030A2B9A29C9DDFC3AB,17,42,30,31,32,21,3.8644067796610173,59
8A7D188F1D84288ADCD042DB8AD11BFD,0,7,7,16,8,13,7.999999999999999,7
14CDD9706D24046F309F81C86687A25C,1,14,13,14,14,21,4.769230769230769,13
28FC1BD0204945ED4B1B15E3A139347C,13,57,44,31,31,21,6.022727272727272,44
18718602D49339FFAF8DB11E5FFCF2CA,0,0,1,17,2,6,6.0,1
21FD52300AE0FBAB4C95D6D470E471D2,17,46,30,31,31,21,4.733333333333334,30
4884DDE11BE14E254510D9788574F4FE,0,0,9,20,10,14,7.222222222222222,9
23FD6C65AB271F4DD5FC2FDEA888032D,16,15,11,20,13,14,3.4999999999999996,16
9A46A573C1A4263A449716650F25ABFF,0,30,30,31,31,21,4.800000000000001,30
