user_pseudo_id,nav_screen_views,nav_distinct_categories,nav_transitions,nav_distinct_transitions,nav_self_loops,nav_cnt_game_over,nav_cnt_shop,nav_cnt_steps,nav_cnt_ad,nav_cnt_level_select
BEF5D5FFD58E3C06524EF00937AC7E5A,2,1,0,0,0,0,0,0,0,0
CA76E9ECAD98901F0A468CC1BD264497,1,1,0,0,0,0,0,0,0,0
12158845DAB88DD2D8E951C24EF9CFF2,19,5,0,0,0,4,0,3,1,0
013F24EB7FDC02D2FF21C696DC7AD188,2,1,0,0,0,0,0,0,0,0
A4F39D38F7FF6AFACAE5C88506A6B0C3,1,1,0,0,0,0,0,0,0,0
58C58BE1BC4187B0C0192D05F718A1A4,48,5,0,0,0,19,0,3,4,0
17515C32D8E535AA8A1B18BA774BB90C,173,6,0,0,0,33,3,0,2,4
3F6F1E87699993F0F2136DAED1BD5729,38,1,0,0,0,0,0,0,0,0
C372FBA4C25362D1F58FFB6C66AF7099,2,1,0,0,0,0,0,0,0,0
12DBA24E4CCF5441E94E1E1EF554CB9F,55,4,0,0,0,38,0,12,0,0
77D04C5DE7E39AC2D53E92F9B3699096,18,3,0,0,0,5,0,6,0,0
D26810F9499A836C727E81D6F55DF7F5,26,5,0,0,0,4,1,0,0,4
260D4764BEA9F62CAE0849A1AAD16741,29,5,0,0,0,3,0,0,1,0
DD7772866FB721476438D3EDCFA89E06,7,4,0,0,0,0,1,0,0,3
6E40E63C836A0C058685C1F69CFE1701,62,5,0,0,0,25,0,19,8,0
C106447E1993066CE6508C2C09460AF9,29,5,0,0,0,9,3,0,0,2
5DAD69BB86295E7F73CC8EAA4BFD473A,12,4,0,0,0,2,1,0,0,0
C069667528C89C4451DC64C5A92C844A,2,1,0,0,0,0,0,0,0,0
CB2B8078B183259199B64FF14A746474,2,1,0,0,0,0,0,0,0,0
D526350FA9F0095154216DEA1BE323DB,4,1,0,0,0,0,0,0,0,0
56673C54A0BF48D3EBF11D5247B74175,1,1,0,0,0,0,0,0,0,0
6DC8E9960F2EAE5C05215ADFC160359C,48,4,0,0,0,8,6,0,0,0
58C462B9572A800F82C0B81EDFCE7645,19,3,0,0,0,6,0,0,0,0
CAE8683FCC2445DDABFB1FF2516E0B5D,19,5,0,0,0,6,0,7,1,0
B86E09CD1E5DA0373D508647973EA921,108,4,0,0,0,13,13,0,0,0
D01FEF8720B9D9BC061F6866A95719BF,39,4,0,0,0,8,3,0,0,0
094CDCB8EF23B9B55134A0B5E22DFFCB,15,5,0,0,0,2,1,0,0,2
E8C0E172FA4948A12E886771D49069DF,39,5,0,0,0,8,0,0,2,1
41B26A7C4962FB21B5C09FE3E7A9EC7E,43,5,0,0,0,10,3,0,2,0
B380065ACBDD1393E54221780C60A656,48,5,0,0,0,8,2,0,1,0
8982EDF2377C3ED176045F26AC9A960D,8,3,0,0,0,0,1,0,0,0
EDB68DF296E55B96200B7897FA5247CE,2,1,0,0,0,0,0,0,0,0
F1E599A7F809EC44B4EE6E33246EEB93,33,5,0,0,0,7,1,0,0,2
186EF14CC97E86390BAE614FDAF4119D,16,4,0,0,0,1,0,0,2,0
03A8DB80E1F1A6E58C6C5BB1FAA9EC34,60,6,0,0,0,13,2,0,2,1
682611EFBA4444A23864391A1F753827,107,4,0,0,0,13,4,0,8,0
CCC7D5A2292224C5FFB058839B9D9A1E,121,6,0,0,0,26,9,0,13,2
2F5B044B41268F6643EB4D0EF15D4E87,113,6,0,0,0,20,7,0,4,6
E0CE2CA5D2D361E064F990D370644897,181,6,0,0,0,48,13,0,5,2
8A2D986E567AEED75DBBDA36C694290F,10,2,0,0,0,0,0,0,0,3
E4373227CBB3666D5F0E9466C072022F,79,6,0,0,0,14,3,0,6,1
A161D33D29F8E607E3D4AD6314CA30BE,35,4,0,0,0,2,0,0,0,4
D739D483CCD20D4651E4A75ADEE94064,12,3,0,0,0,0,1,0,0,0
3B296D124B72B9FEB17113BDA3F539E0,1,1,0,0,0,0,0,0,0,0
53C1B5940D0CD7993E09D41E3E5E3A31,19,4,0,0,0,2,0,0,0,1
93D2F90F79DCA7962370908D49462B67,17,3,0,0,0,3,0,0,0,0
41DB722D2F983320866BF0B697513B16,23,4,0,0,0,6,0,0,0,1
A00459466CE4C8B9E16BAB99D5EE9711,24,5,0,0,0,4,1,0,0,2
EC84F74842B4635EA86B94A1F38F5E80,358,7,0,0,0,78,14,0,18,7
E1FD50614358282C8E5CC72C27DDEAE7,15,4,0,0,0,2,1,0,0,0
714BD96E2DA1B1738AD40BA444042861,7,4,0,0,0,1,1,0,0,0
F006F7F2637A17EEF6C30A1DD804B2DB,26,4,0,0,0,7,3,0,0,0
27293EA0B2F41A672E15EF7B1FA21298,9,3,0,0,0,1,0,0,0,0
61358A53C1052D6BE829B7BA4B7B2CF8,14,4,0,0,0,2,0,1,0,0
23B19473149E9A87C6ABACCA77984E70,63,7,0,0,0,9,0,4,0,2
BA5021D19F13915A265BC22F48E4D3B8,13,4,0,0,0,1,0,1,0,0
94635B9A5B3B61BBAFB2076700061EE5,11,3,0,0,0,3,0,0,0,0
93633CE8D034001EAAA6F4F0D767A135,6,3,0,0,0,0,0,1,0,0
938611E83B897B6F877992BF30D3E1FE,10,2,0,0,0,0,0,0,0,0
CAB46DA4D11234BBD6AD709F01CA8241,12,3,0,0,0,3,0,0,0,0
6A5FFA8429135FB1996D45DD750C9E16,31,5,0,0,0,3,0,1,0,0
13282343584D1E29C354588A314C81B7,37,5,0,0,0,6,0,5,0,0
F942B4D7DBCB11FA29DA7E11BCC97587,9,4,0,0,0,1,0,1,0,2
810CCFECB02117368BC7A2C07C5CED8F,106,7,0,0,0,11,0,6,0,1
22ECA5A07E5D19AAC94B356E7E919F21,66,6,0,0,0,10,0,6,0,0
6DBDE46320385E9E44406228DBB4DF9F,30,6,0,0,0,6,0,5,0,1
3F60C23A9CC824C3BE265C4968417093,25,5,0,0,0,7,0,0,0,1
0B59E4D746C8091A0D068E7F6AFD3992,12,4,0,0,0,2,0,1,0,0
521AC3696E284496AE40274B6FADB8BA,55,6,0,0,0,12,0,3,0,1
32D8F434011631E109B8CEFF0D60C04B,697,7,0,0,0,207,0,72,0,8
B556F5DE570486671EAFF0A392FDF4B2,50,4,0,0,0,16,0,4,0,0
9741557300F0652C44C5E56623F922FB,9,3,0,0,0,2,0,0,0,0
4542BFA668FC4AD3E5B0B0F7138BE993,6,2,0,0,0,0,0,0,0,0
0040B9E6C13BD6002B0A3E4716788175,20,3,0,0,0,2,0,0,0,0
513EFC13437E5CCEFF3E3D959F55C262,29,4,0,0,0,7,0,5,0,0
B1D3AA2352DD71BA510BB26EE86BE27E,19,4,0,0,0,6,0,0,0,0
359670C5C9544267F74ED8F55C267D49,4,2,0,0,0,0,0,0,0,0
991B48F76018351823B3C9C3AEBE7A22,22,5,0,0,0,2,0,0,0,1
E9BD13AB98AB78413458B48F4A42B438,16,3,0,0,0,5,0,0,0,0
52AA49EF79311AA44FD0E368B5AB0287,29,6,0,0,0,4,0,2,0,1
17BC57E6847F227FBCE9F5BCE0620806,12,5,0,0,0,1,0,0,0,1
894317E466417E90E403656FF1204A2B,169,7,0,0,0,28,0,9,0,2
B14332791FE5828CCA37796C3B21C182,15,3,0,0,0,5,0,0,0,0
A27121EFDB4D0B36B56D3351C3848839,77,5,0,0,0,28,0,7,1,0
EC65A4E9E110812FCB0654E5783D0ED1,44,4,0,0,0,15,0,5,0,0
8B8FD89F34225BD4A9A81B16AEA027D8,27,4,0,0,0,0,0,2,0,0
44A29EC41F674F822031D20DD4653E50,21,4,0,0,0,6,0,1,0,0
C46B72B0C704733D3E96A58075A13685,10,3,0,0,0,1,0,0,0,0
FA2CCDF7123953776CE4998FB9BAB231,10,5,0,0,0,0,0,1,0,1
CD327D0141209436D7C03D644B969700,83,7,0,0,0,16,0,4,0,3
813752D080B905A883D3818484ECB924,203,6,0,0,0,40,0,16,0,0
